id,text,source,created_at,
822594031763025920,Public road gritter naming contest winner will make wordplay https://t.co/YryoSplQE5 #TrumpTransition #PresidentElectTrump #MAGA #privacy,Tweet Old Post,2017-01-20 23:57:54,
822594029581987842,Street Fight Breaks Out Near Inauguration (VIDEO) https://t.co/4RftZWweAv #TrumpTransition #PresidentTrump #MAGA #privacy,Tweet Old Post,2017-01-20 23:57:54,
822594025370845185,"They take our rights and ration them back to us 
like fucking dogs!
Been done with that shit!
#TROLLASAURUSWRECKS!
#MAGA🇺🇸
@Italians4Trump",Twitter for iPhone,2017-01-20 23:57:53,
822594025236602881,#inauguration party #maga #maga #maga #maga #maga https://t.co/qOIbIQkjXo,Twitter for iPhone,2017-01-20 23:57:53,
822594024938885122,The only thing burning a flag will do is piss off our new President #j20 #libtard #sickofthiscrap #pdx… https://t.co/ou7vXcniep,Twitter for iPhone,2017-01-20 23:57:53,
822594021092630536,@POTUS THANK YOU for adding tens of thousands of jobs to the #mentalhealth industry!!!! #MAGA 🇺🇸,Twitter for iPhone,2017-01-20 23:57:52,
822594020769730562,#Chicago is ready to #MAGA w/@POTUS #InaugurationDay2017 https://t.co/DXfKIO80rx,Twitter for iPad,2017-01-20 23:57:52,
822594019129720839,"@TheFederalist1 Amazing what a speech sounds like without all the me, me, I's written over &amp; over - Concise &amp; Straight To The Point!  #MAGA",Twitter for Android,2017-01-20 23:57:51,
822594013802930176,Damn there's a lot of rain today... must be the tears of all the Liberals. HAHAH #MAGA #trump2017,Twitter Web Client,2017-01-20 23:57:50,
822594009373753345,@Sdonna361W @realDonaldTrump @KellyannePolls Gucci (Italian designer) made in London inspired by French military #maga?,Twitter for iPhone,2017-01-20 23:57:49,
822594000846782464,Just retire please! Enough harm done already.#MAGA https://t.co/DTPoU7qSTQ,Twitter for Android,2017-01-20 23:57:47,
822593992814718976,MT @prezprobs: #ObamaLegacy #ByeByeObama #MAGA #DrainTheSwamp #HowIHandleRejection #MovingDay https://t.co/iF5B6ytMFR,#PJNET,2017-01-20 23:57:45,
822593991841640451,"""Keep your electoral elites.

No other man leads up but Donald Trump. #MAGA

- Fourth Harmony",Twitter Web Client,2017-01-20 23:57:45,
822593987726938112,Complete Text of President Donald Trump’s Inaugural Address https://t.co/0SG1DOMbkp #MAGA #bluelivesmatter… https://t.co/rLz0dVpNyH,Buffer,2017-01-20 23:57:44,
822593985730514949,"LOL apparently all the red #MAGA hats were made in Viet Nam.  Have we ever, *ever* had a President that lies this much?  Nixon?",Twitter Web Client,2017-01-20 23:57:43,
822593975244754950,@TheJuanWilliams When are you going to stop bashing Trump! Stand back and watch how good this Country can be! #MAGA! #DTS!!!,Twitter for Android,2017-01-20 23:57:41,
822593974108127233,Beautiful!  #MAGA https://t.co/KC2uqrHooS,Twitter for Android,2017-01-20 23:57:41,
822593972921044993,This was an amazing experience! Congrats @POTUS #MAGA #inauguralparade,Twitter for iPhone,2017-01-20 23:57:40,
822593966008893440,@HardballChris Fuck Off. MSM Assholes like you will soon be extinct. Our new @POTUS will #MAGA,Twitter Web Client,2017-01-20 23:57:39,
822593961781030912,I'm super excited for our new President Trump &amp; First Lady Malania Trump!! Beautiful family!! #Inauguration #Trump45 #Trump #MAGA #USA 🇺🇸,Twitter for iPhone,2017-01-20 23:57:38,
822593961726537728,@billmaher @RealTimers @HBO Ann Coulter has her pulse on the    Country. #MAGA #MyPresident,Twitter for iPhone,2017-01-20 23:57:38,
822593957691621376,For trump supporters. #maga #dumfux  https://t.co/EkcVWeKOsJ,Twitter for Android,2017-01-20 23:57:37,
822593952423575552,"Economic protectionism, Metaphors of melancholy, Religious wars, Phony patriotism, and a hint of Villian Bane. This is the meaning of #MAGA.",Twitter Web Client,2017-01-20 23:57:35,
822593943930097669,".@FoxNews @krauthammer sounds a bit negative, and conversely it appears that @brithume is back with rejuvenated analysis! #maga #Trump45",Twitter for iPhone,2017-01-20 23:57:33,
